week_start,onboarding_time_days,data_accuracy_pct,user_adoption_pct
2025-01-06,10.0,85.0,60.0
2025-01-13,9.8,85.7,61.8
2025-01-20,9.5,86.3,63.5
2025-01-27,9.2,87.0,65.2
2025-02-03,9.0,87.6,67.0
2025-02-10,8.8,88.2,68.8
2025-02-17,8.5,88.9,70.5
2025-02-24,8.2,89.5,72.2
2025-03-03,8.0,90.2,74.0
2025-03-10,7.8,90.8,75.8
2025-03-17,7.5,91.5,77.5
2025-03-24,7.2,92.2,79.2
2025-03-31,7.0,92.8,81.0
2025-04-07,6.8,93.5,82.8
2025-04-14,6.5,94.1,84.5
2025-04-21,6.2,94.8,86.2
2025-04-28,6.0,95.4,88.0
2025-05-05,5.8,96.0,89.8
2025-05-12,5.5,96.7,91.5
2025-05-19,5.2,97.3,93.2
2025-05-26,5.0,98.0,95.0
